Page URL,Source,Followers,Date,Time,Time Zone,Post Type,Interactions,Post Message,Post Link
Facebook.com/Txrebels,Heart of Texas,189051,2017-03-06,15:00:01 , GMT-0500,Facebook,6069,,https://www.facebook.com/txrebels/posts/1150331601755328
Facebook.com/Txrebels,Heart of Texas,214912,2017-04-29,18:00:00 , GMT-0400,Facebook,6062,,https://www.facebook.com/txrebels/posts/1203134823141672
Facebook.com/Txrebels,Heart of Texas,230328,2017-06-19,18:00:00 , GMT-0400,Facebook,6050,,https://www.facebook.com/txrebels/posts/1259540654167755
Facebook.com/Txrebels,Heart of Texas,249770,2017-08-23,16:00:00 , GMT-0400,Facebook,6027,,https://www.facebook.com/txrebels/posts/1327028174085669
Facebook.com/Txrebels,Heart of Texas,200519,2017-04-02,16:01:00 , GMT-0400,Facebook,6007,,https://www.facebook.com/txrebels/posts/1173080246147130
Facebook.com/Txrebels,Heart of Texas,164245,2016-12-26,18:00:00 , GMT-0500,Facebook,5998,,https://www.facebook.com/txrebels/posts/1084070091714813
Facebook.com/Txrebels,Heart of Texas,174092,2017-01-27,19:00:00 , GMT-0500,Facebook,5924,,https://www.facebook.com/txrebels/posts/1114508495337639
Facebook.com/Txrebels,Heart of Texas,160117,2016-12-11,9:57:00 , GMT-0500,Facebook,5916,,https://www.facebook.com/txrebels/posts/1068560569932432
Facebook.com/Txrebels,Heart of Texas,245271,2017-08-06,18:00:00 , GMT-0400,Facebook,5906,,https://www.facebook.com/txrebels/posts/1307218916066595
Facebook.com/Txrebels,Heart of Texas,250245,2017-08-24,16:00:00 , GMT-0400,Facebook,5890,,https://www.facebook.com/txrebels/posts/1328133317308488
Facebook.com/Txrebels,Heart of Texas,220906,2017-05-22,18:30:00 , GMT-0400,Facebook,5886,,https://www.facebook.com/txrebels/posts/1229356260519528
Facebook.com/Txrebels,Heart of Texas,236882,2017-07-12,19:11:00 , GMT-0400,Facebook,5870,,https://www.facebook.com/txrebels/posts/1282907121831108
Facebook.com/Txrebels,Heart of Texas,166820,2017-01-01,17:00:00 , GMT-0500,Facebook,5843,,https://www.facebook.com/txrebels/posts/1080293555425800
Facebook.com/Txrebels,I Love Texas,377963,2017-07-11,18:07:40 , GMT-0400,Facebook,5842,,https://www.facebook.com/ilovethegreatstateoftexas/posts/1339586226110748
Facebook.com/Txrebels,Heart of Texas,194098,2017-03-22,16:56:00 , GMT-0400,Facebook,5828,,https://www.facebook.com/txrebels/posts/1165813493540472
Facebook.com/Txrebels,Heart of Texas,220459,2017-05-21,18:31:00 , GMT-0400,Facebook,5805,,https://www.facebook.com/txrebels/posts/1226804760774678
Facebook.com/Txrebels,Heart of Texas,234858,2017-07-06,19:00:00 , GMT-0400,Facebook,5796,,https://www.facebook.com/txrebels/posts/1274937632628057
Facebook.com/Txrebels,Heart of Texas,231749,2017-06-21,19:30:00 , GMT-0400,Facebook,5783,,https://www.facebook.com/txrebels/posts/1261490203972800
Facebook.com/Txrebels,Heart of Texas,242468,2017-07-29,15:00:00 , GMT-0400,Facebook,5778,,https://www.facebook.com/txrebels/posts/1301388733316280
Facebook.com/Txrebels,Heart of Texas,229567,2017-06-18,16:31:00 , GMT-0400,Facebook,5770,,https://www.facebook.com/txrebels/posts/1256349214486899
Facebook.com/Txrebels,Heart of Texas,212515,2017-04-23,18:00:00 , GMT-0400,Facebook,5736,,https://www.facebook.com/txrebels/posts/1201771156611372
Facebook.com/Txrebels,Heart of Texas,247597,2017-08-15,20:00:00 , GMT-0400,Facebook,5733,,https://www.facebook.com/txrebels/posts/1318361168285703
Facebook.com/Txrebels,Heart of Texas,216268,2017-05-06,19:04:00 , GMT-0400,Facebook,5696,,https://www.facebook.com/txrebels/posts/1203149086473579
Facebook.com/Txrebels,Heart of Texas,167434,2017-01-03,19:04:01 , GMT-0500,Facebook,5675,,https://www.facebook.com/txrebels/posts/1081755741946248
Facebook.com/Txrebels,Heart of Texas,247597,2017-08-15,18:00:00 , GMT-0400,Facebook,5670,,https://www.facebook.com/txrebels/posts/1318198461635307
Facebook.com/Txrebels,Heart of Texas,163007,2016-12-21,14:00:36 , GMT-0500,Facebook,5665,,https://www.facebook.com/txrebels/posts/1080287188759770
Facebook.com/Txrebels,Heart of Texas,238057,2017-07-14,20:04:00 , GMT-0400,Facebook,5664,,https://www.facebook.com/txrebels/posts/1285042851617535
Facebook.com/Txrebels,Heart of Texas,199162,2017-03-29,16:51:00 , GMT-0400,Facebook,5606,,https://www.facebook.com/txrebels/posts/1172998659488622
Facebook.com/Txrebels,Heart of Texas,171919,2017-01-18,15:59:01 , GMT-0500,Facebook,5602,,https://www.facebook.com/txrebels/posts/1104069799714842
Facebook.com/Txrebels,Heart of Texas,186255,2017-03-01,18:00:00 , GMT-0500,Facebook,5587,,https://www.facebook.com/txrebels/posts/1146087565513065
